name,href,price,dollar_price,instock,image_href,description,images_href,date_parsed
"Smart Watch Charger Samsung Gear S2/S3, black",/tchasy-remeshki-i-pr/smart-watch-charger-samsung-gear-s2-s3-black.html,,8.12,True,,"charger for mobile phone, Apple watch, Airpods",/media/tchasy-remeshki-i-pr/61c651a7c7996dd.jpeg,2021-11-26 13:33:03.284872
Кабель USB Lightning iPhone 7 AAA красный MD818ZM/A,/kabel-usb-hdmi-otg/kabel-usb-lightning-iphone-7-aaa-krasnyj-md818zm-a.html,,0.99,True,,,/media/kabel-usb-hdmi-otg/2d65eafb08d0fa5.jpeg,2021-11-26 13:33:03.499743
Кабель USB Borofone BX22 Bloom Type-C белый,/kabel-usb-hdmi-otg/kabel-usb-borofone-bx22-bloom-type-c-belyj.html,,1.05,True,,"Borofone BX22 Bloom - кабель в белом цвете изготовлен из высококачественных материалов, который понадобится когда устройство разрядился. Оснащен коннекторами USB и Type-C. Сила тока составляет 2 А. Вы легко сможете передать данные со смартфона на ПК или ноутбук, используя данный кабель. Длина кабеля составляет 1 метр, что делает его весьма удобным в пользовании. Кабель Borofone BX22 Bloom подойдет для любого устройства с разъемом Type-C.",/media/kabel-usb-hdmi-otg/7943d7c84252382.jpeg,2021-11-26 13:33:03.637657
Маска Защитная KN95 для ребёнка (10 шт в уп),/begovel/maska-zatshitnaya-kn95-dlya-rebyonka-10-sht-v-up.html,,0.99,True,,,"/media/begovel/f730c980ce349fb.jpeg,/media/begovel/c91b04205c37191.jpg,/begovel/downloadimgs?id=4b4596da-903f-11ea-8d3e-2c41388794af",2021-11-26 13:33:03.749586
"Кабель USB Hoco X40 Noah Micro, черный",/kabel-usb-hdmi-otg/kabel-usb-hoco-x40-noah-micro-tchernyj.html,,0.95,True,,"Кабель USB Hoco X40 Noah Micro - отличное решение для быстрой зарядки телефонов. Позволяет подключить ваше устройство, как для синхронизации с компьютером, так и для зарядки. Модель представлена в нескольких цветовых решениях. Практичная реализация корпусов коннекторов обеспечивает комфорт при ежедневной эксплуатации и дополнительную защиту от изломов в местах соединения с кабелем. Прочная оплетка из термопластичного каучука и усиленная плоская форма определяют долгий срок службы аксессуара. Провод с четырехжильным сердечником из луженой бескислородной меди в сочетании с качественным экранированием позволяет кабелю не допускать падения скорости передачи данных, выходного тока и напряжения. Установление соединения между устройствами через usb – micro-usb. Максимальная сила проводимого тока составляет 2,4 А",/media/kabel-usb-hdmi-otg/6f312f86f869684.jpeg,2021-11-26 13:33:04.353215
Кабель USB Borofone BX22 Bloom Lightning белый,/kabel-usb-hdmi-otg/kabel-usb-borofone-bx22-bloom-lightning-belyj.html,,0.94,True,,"Материал корпуса - Пластик
Форма кабеля - Круглая
Оплетка - Текстиль
Длина кабеля, м - 1
Комплектация - Кабель Micro-USB
Коннекторы - male - male
Тип - Кабель
Вход (Тип коннектора) - USB
Выход (Тип коннектора) - Micro-usb
Сила тока, А - 2,4",/media/kabel-usb-hdmi-otg/3c7fa5052d83a77.jpeg,2021-11-26 13:33:04.639041
"Кабель USB Borofone BX1 Type-C, черный",/kabel-usb-hdmi-otg/kabel-usb-borofone-bx1-type-c-tchernyj.html,,1.21,True,,"Вход (Тип коннектора) :USB
Выход (Тип коннектора) :Type-C
Длина кабеля, м :1
Материал корпуса :Пластик
Комплектация :Кабель Type-C
Тип :Кабель
Форма кабеля :Круглая
Коннекторы :male - male",/media/kabel-usb-hdmi-otg/b4f79503b162090.jpeg,2021-11-26 13:33:05.080771
Кабель USB Supercalla (магнит) Type-C,/kabel-usb-hdmi-otg/kabel-usb-supercalla-magnit-type-c.html,,1.0,True,,"Кабель USB Supercalla (магнит) - не путающийся кабель для зарядки/синхронизации.

Гениально и просто!
Он оснащен магнитными вставками, расположенными на одинаковом расстоянии друг от друга. Уникальная и практичная конструкция позволяет компактно скрутить кабель и предотвращает его спутывание. Удобен в использовании, прекрасно подойдет для командировок, путешествий и организации рабочего места.

Материал: силикон с кольцами-магнитами, коннекторы из высококачественного анодированного алюминиевого сплава.
Максимальный выходной ток 2.4 А, а это значит, что вы быстрее зарядите своё устройство.
Длина: 1 метр

Примечание: коннектор не магнитный",/media/kabel-usb-hdmi-otg/8efe20efb81c7ac.jpeg,2021-11-26 13:33:05.313792
"Зарядное Сеть Borofone BA41A Lightning, белый",/3u-set-avto/zaryadnoe-set-borofone-ba41a-lightning-belyj.html,,3.58,True,,"Сетевое зарядное устройство Borofone BA41A Lightning поможет восполнить заряд iPhone за минимальное время. Высокое качество аксессуара гарантирует безопасность заряжаемого гаджета, благодаря своей многоуровневой системе защиты от перегрева, перегрузки и короткого замыкания. Максимальная сила тока составляет 2,4 А. Корпус устройства изготовлен из крепкого, огнестойкого поликарбоната, что придает ему дополнительную безопасность и определяет его длительный срок службы. Модель выполнена в стильном, практичном дизайне, реализована с широкими боковыми панелями, на которых представлен весь функционал устройства. На верхней панели размещен цифровой дисплей, отображающий показатели тока и напряжения, там же находится кнопка для его управления. На одной из боковых панелей имеется встроенный кабель с разъемом Lightning, а на другой - два USB порта, такое практичное решение позволяет аксессуару заряжать три гаджета одновременно.",/media/3u-set-avto/9ef3c45d90a606f.jpeg,2021-11-26 13:33:05.801448
Кабель USB Supercalla (магнит) Micro,/kabel-usb-hdmi-otg/kabel-usb-supercalla-magnit-micro.html,,1.0,True,,"Кабель USB Supercalla (магнит) - не путающийся кабель для зарядки/синхронизации.

Гениально и просто!
Он оснащен магнитными вставками, расположенными на одинаковом расстоянии друг от друга. Уникальная и практичная конструкция позволяет компактно скрутить кабель и предотвращает его спутывание. Удобен в использовании, прекрасно подойдет для командировок, путешествий и организации рабочего места.

Материал: силикон с кольцами-магнитами, коннекторы из высококачественного анодированного алюминиевого сплава.
Максимальный выходной ток 2.4 А, а это значит, что вы быстрее зарядите своё устройство.
Длина: 1 метр

Примечание: коннектор не магнитный",/media/kabel-usb-hdmi-otg/bd35b3f109c6314.jpeg,2021-11-26 13:33:05.954355
